concept_text,"""a colorful cartoon illustration of an erupting volcano"""
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"""shot_001""",0.2,0.7421,0.2245
"""shot_002""",1.0,0.7371,0.3473
"""shot_003""",0.0,1.0000,0.2583
"""shot_004""",0.1,0.8307,0.2605
"""shot_005""",0.2,0.7517,0.2728
"""shot_006""",0.3,0.8519,0.1877
"""shot_007""",0.2,0.7762,0.3077
"""shot_008""",1.0,0.7425,0.3354
"""shot_009""",1.0,0.9674,0.3403
"""shot_010""",1.0,0.8806,0.3419
"""shot_011""",0.1,0.8449,0.3309
"""shot_012""",1.0,0.8022,0.3439
"""shot_013""",0.2,0.9554,0.2512
"""shot_014""",0.1,0.8142,0.3002
"""shot_015""",0.2,0.7873,0.2226
"""shot_016""",0.0,1.0000,0.1990

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"""adaptive""",0.2828,0.8428
