concept_text,"""a colorful cartoon illustration of a human eye, the organ of sight"""
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"""shot_001""",1.0,0.7612,0.3009
"""shot_002""",1.0,0.7748,0.2888
"""shot_003""",1.0,0.8232,0.2856
"""shot_004""",1.0,0.7149,0.2928
"""shot_005""",1.0,0.8514,0.2759
"""shot_006""",1.0,0.7929,0.2750
"""shot_007""",1.0,0.8776,0.2814
"""shot_008""",1.0,0.8794,0.2753
"""shot_009""",1.0,0.7961,0.2867
"""shot_010""",0.2,0.7859,0.2592
"""shot_011""",1.0,0.7681,0.2896
"""shot_012""",0.0,1.0000,0.2899
"""shot_013""",1.0,0.7297,0.2834
"""shot_014""",1.0,0.8294,0.2788
"""shot_015""",0.2,0.7066,0.3010
"""shot_016""",1.0,0.8270,0.2799

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"""adaptive""",0.2840,0.8074
