concept_text,"""a colorful cartoon illustration of a DNA double helix molecule"""
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"""shot_001""",1.0,0.8926,0.1680
"""shot_002""",1.0,0.7505,0.1637
"""shot_003""",0.4,0.7410,0.2683
"""shot_004""",0.0,1.0000,0.2713
"""shot_005""",0.1,0.8984,0.2804
"""shot_006""",0.0,1.0000,0.2694
"""shot_007""",0.1,0.8947,0.2720
"""shot_008""",0.2,0.8062,0.1926
"""shot_009""",0.0,1.0000,0.2172
"""shot_010""",0.0,1.0000,0.2068
"""shot_011""",0.2,0.7550,0.2520
"""shot_012""",0.2,0.7222,0.2353
"""shot_013""",0.0,1.0000,0.1810
"""shot_014""",0.1,0.8155,0.2986
"""shot_015""",0.3,0.7449,0.1435
"""shot_016""",0.3,0.7147,0.1520

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"""adaptive""",0.2233,0.8585
