video,arm,backward_penalty,assignment,unique_scenes,num_sentences,reuse_rate,temp_acc_15s,vis_coher,clip_score
review_7,caption_temporal_dp,0.05,"[2, 4, 4, 4, 4, 4]",2,6,0.6666666666666667,0.6666666666666666,0.9031617760658264,0.5471170196930567
review_7,caption_temporal_dp,0.1,"[2, 4, 4, 4, 4, 4]",2,6,0.6666666666666667,0.6666666666666666,0.9031617760658264,0.5471170196930567
review_7,caption_temporal_dp,0.2,"[2, 4, 4, 4, 4, 4]",2,6,0.6666666666666667,0.6666666666666666,0.9031617760658264,0.5471170196930567
review_7,caption_temporal_dp,0.3,"[2, 4, 4, 4, 4, 4]",2,6,0.6666666666666667,0.6666666666666666,0.9031617760658264,0.5471170196930567
review_7,caption_temporal_dp,0.5,"[2, 4, 4, 4, 4, 4]",2,6,0.6666666666666667,0.6666666666666666,0.9031617760658264,0.5471170196930567
review_2,siglip_temporal_dp,0.05,"[3, 18, 18, 45, 62, 81]",5,6,0.16666666666666663,0.8333333333333334,0.6620219886302948,0.47099264959494275
review_2,siglip_temporal_dp,0.1,"[3, 18, 18, 45, 62, 81]",5,6,0.16666666666666663,0.8333333333333334,0.6620219886302948,0.47099264959494275
review_2,siglip_temporal_dp,0.2,"[3, 18, 18, 45, 62, 81]",5,6,0.16666666666666663,0.8333333333333334,0.6620219886302948,0.47099264959494275
review_2,siglip_temporal_dp,0.3,"[3, 18, 18, 45, 62, 81]",5,6,0.16666666666666663,0.8333333333333334,0.6620219886302948,0.47099264959494275
review_2,siglip_temporal_dp,0.5,"[3, 18, 18, 45, 62, 81]",5,6,0.16666666666666663,0.8333333333333334,0.6620219886302948,0.47099264959494275
