video,shot,d_s,true_w*,predicted_w*,content_at_pred,breach_flag
V1_Geology,shot_005,0.2745,0.2,0.1,0.9554,False
V1_Geology,shot_011,0.2994,0.3,0.1,0.8165,False
V1_Geology,shot_013,0.4656,0.5,0.1,0.9286,False
V2_Ecology,shot_003,1.0,1.0,1.0,0.8851,False
V2_Ecology,shot_007,0.5519,0.2,0.2,0.7834,False
V2_Ecology,shot_009,0.2937,0.2,0.1,0.0,True
V3_Sun,shot_001,1.0,1.0,1.0,0.8461,False
V3_Sun,shot_002,0.6807,0.8,0.5,0.6789,True
V3_Sun,shot_003,0.6461,0.3,0.4,0.6894,True
V3_Sun,shot_004,0.5948,0.8,0.2,0.6371,True
V3_Sun,shot_005,0.6213,0.1,0.3,0.6238,True
V3_Sun,shot_006,0.5579,0.1,0.2,0.6339,True
V3_Sun,shot_007,0.5354,0.3,0.2,0.9325,False
V3_Sun,shot_008,0.5147,0.2,0.2,0.8499,False
V3_Sun,shot_009,0.1316,0.0,0.1,0.6714,True
V3_Sun,shot_010,0.2222,0.1,0.1,0.8409,False
V3_Sun,shot_011,0.5313,0.3,0.2,0.8404,False
V3_Sun,shot_012,0.2391,0.1,0.1,0.7296,False
V3_Sun,shot_013,0.6699,1.0,0.4,0.7383,False
V3_Sun,shot_014,0.5566,0.1,0.2,0.667,True
V3_Sun,shot_015,0.779,1.0,1.0,0.7542,False
V3_Sun,shot_016,0.4629,0.0,0.2,0.553,True
V4_Heart,shot_001,1.0,1.0,1.0,0.8979,False
V4_Heart,shot_002,0.2292,0.0,0.1,0.6395,True
V4_Heart,shot_003,0.3043,0.0,0.1,0.4628,True
V4_Heart,shot_004,0.1872,0.1,0.1,0.8083,False
V4_Heart,shot_005,0.2577,0.1,0.1,0.7832,False
V4_Heart,shot_006,0.3139,0.2,0.1,0.8052,False
V4_Heart,shot_007,0.2291,0.3,0.1,0.8442,False
V4_Heart,shot_008,0.1485,0.1,0.0,1.0,False
V4_Heart,shot_009,0.2055,0.1,0.1,0.7416,False
V4_Heart,shot_010,0.119,0.0,0.0,1.0,False
V4_Heart,shot_011,0.0829,0.2,0.0,1.0,False
V4_Heart,shot_012,-0.0335,0.2,0.0,1.0,False
V4_Heart,shot_013,0.0124,0.4,0.0,1.0,False
V5_iPhone,shot_001,1.0,1.0,1.0,0.9132,False
V5_iPhone,shot_002,0.4612,0.1,0.2,0.6725,True
V5_iPhone,shot_003,0.2556,0.2,0.1,0.8592,False
V5_iPhone,shot_004,0.5662,0.1,0.3,0.4381,True
V5_iPhone,shot_005,0.5644,0.3,0.3,0.756,False
V5_iPhone,shot_006,0.2826,0.1,0.1,0.8431,False
V5_iPhone,shot_007,0.2225,0.0,0.1,0.6849,True
V5_iPhone,shot_008,0.4798,0.1,0.2,0.5381,True
V5_iPhone,shot_009,0.1983,0.1,0.1,0.7298,False
V5_iPhone,shot_010,0.4511,0.1,0.2,0.4226,True
V5_iPhone,shot_011,0.4269,0.1,0.2,0.6428,True
V5_iPhone,shot_012,0.2182,0.1,0.1,0.9006,False
V5_iPhone,shot_013,0.5632,0.2,0.3,0.499,True
V5_iPhone,shot_014,0.4701,0.2,0.2,0.8241,False
V5_iPhone,shot_015,0.4707,0.2,0.2,0.8286,False
