concept_text,"""a colorful cartoon illustration of a hurricane, a large swirling storm system"""
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"""shot_001""",1.0,0.8060,0.3386
"""shot_002""",1.0,0.8695,0.3393
"""shot_003""",0.8,0.7348,0.3401
"""shot_004""",1.0,0.8410,0.2848
"""shot_005""",0.6,0.8136,0.3156
"""shot_006""",1.0,0.7646,0.3215
"""shot_007""",1.0,0.7264,0.3403
"""shot_008""",1.0,0.7214,0.3144
"""shot_009""",1.0,0.8341,0.3232
"""shot_010""",0.1,0.7503,0.2850
"""shot_011""",1.0,0.8028,0.3250
"""shot_012""",1.0,0.8188,0.3428
"""shot_013""",1.0,0.7805,0.3455
"""shot_014""",1.0,0.7238,0.3326
"""shot_015""",1.0,0.8275,0.3219
"""shot_016""",0.0,1.0000,0.2763

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"""adaptive""",0.3217,0.8009
