concept_text,"a colorful cartoon illustration of a dripping water cave, the water cycle"
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"shot_001",0.4,0.7382,0.2911
"shot_002",0.3,0.8732,0.2894
"shot_003",0.8,0.9000,0.3624
"shot_004",0.4,0.7233,0.2949
"shot_005",0.4,0.7885,0.3080
"shot_006",0.5,0.7314,0.2926
"shot_007",0.8,0.7079,0.3419
"shot_008",0.2,1.0000,0.2840
"shot_009",0.3,0.8544,0.2673
"shot_010",0.3,0.7834,0.2770
"shot_011",0.8,0.7768,0.2744
"shot_012",0.8,0.9012,0.2761
"shot_013",0.3,0.8525,0.2312
"shot_014",0.3,0.9110,0.2604
"shot_015",0.8,0.8047,0.2939
"shot_016",0.8,0.8343,0.2838

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"adaptive",0.2893,0.8238
"fixed_w0.2",0.2870,1.0000
"fixed_w0.4",0.2964,0.7499
"fixed_w0.6",0.3019,0.5935
