concept_text,"a colorful cartoon illustration of rocks, rocky terrain, boulders and stones"
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"shot_001",0.4,0.7898,0.3440
"shot_002",0.8,0.8163,0.3644
"shot_003",0.8,0.7548,0.3484
"shot_004",0.3,0.7362,0.3351
"shot_005",0.4,0.7479,0.3151
"shot_006",0.8,0.8061,0.3708
"shot_007",0.8,0.9023,0.3655
"shot_008",0.8,0.8331,0.3705
"shot_009",0.8,0.8677,0.3717
"shot_010",0.8,0.8699,0.3596
"shot_011",0.4,0.9053,0.3230
"shot_012",0.8,0.8211,0.3689
"shot_013",0.8,0.7194,0.2931
"shot_014",0.2,1.0000,0.3047

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"adaptive",0.3454,0.8264
"fixed_w0.2",0.3386,1.0000
"fixed_w0.4",0.3456,0.8384
"fixed_w0.6",0.3461,0.7702
