concept_text,"a colorful cartoon illustration of a human heart, the organ that pumps blood"
tau,0.7

shot,adaptive_w*,content_at_w*(sim_to_own),concept_at_w*(CLIP)
"shot_001",1,0.8979,0.2598
"shot_002",0,1.0000,0.2786
"shot_003",0,1.0000,0.2837
"shot_004",0.1,0.8083,0.2408
"shot_005",0.1,0.7832,0.2856
"shot_006",0.2,0.7773,0.2944
"shot_007",0.3,0.7238,0.3034
"shot_008",0.1,0.8897,0.2790
"shot_009",0.1,0.7416,0.2855
"shot_010",0,1.0000,0.2228
"shot_011",0.2,0.8319,0.1821
"shot_012",0.2,0.9002,0.1865
"shot_013",0.4,0.7793,0.2423

scheme,mean_concept(CLIP),mean_content(sim_to_own)
"adaptive",0.2573,0.8564
"fixed_w0.2",0.2475,0.6365
"fixed_w0.4",0.2417,0.4466
"fixed_w0.6",0.2385,0.2635
